"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2020 WF5)","2082-2120","34","1.7e-5","8.62","27.8","0.010","-6.35","-7.07","0","bK20W05F"
"(2020 WZ3)","2107-2121","4","4.7e-6","6.31","26.2","0.020","-6.35","-6.44","0","bK20W03Z"
"(2020 HN)","2055-2123","38","3.2e-5","3.44","28.6","0.006","-6.36","-6.65","0","bK20H00N"
"(2023 VK1)","2105-2105","1","1.9e-6","8.67","25.6","0.025","-6.36","-6.36","0","bK23V01K"
"(2023 VP3)","2068-2123","54","1.2e-4","6.03","29.4","0.004","-6.36","-6.99","0","bK23V03P"
"(2024 CR6)","2091-2101","11","8.2e-6","21.78","27.9","0.009","-6.36","-6.80","0","bK24C06R"
"(2011 CW46)","2055-2122","9","2.0e-7","16.60","24.7","0.039","-6.37","-6.73","0","bK11C46W"
"(2020 MP1)","2105-2105","2","3.0e-6","7.83","26.1","0.021","-6.37","-6.47","0","bK20M01P"
"(2022 EF3)","2088-2088","1","1.3e-5","10.39","27.7","0.010","-6.37","-6.37","0","bK22E03F"
"(2014 OX3)","2108-2120","9","1.5e-5","12.79","27.7","0.010","-6.37","-6.38","0","bK14O03X"
"(2017 UM52)","2087-2122","49","1.6e-4","2.72","29.5","0.004","-6.37","-7.00","0","bK17U52M"
"(2019 TC2)","2103-2121","64","1.9e-5","11.13","27.8","0.009","-6.38","-7.13","0","bK19T02C"
"(2022 KE5)","2075-2115","8","9.5e-6","16.95","27.9","0.009","-6.38","-6.73","0","bK22K05E"
"(2016 XL23)","2080-2098","3","6.1e-5","9.95","29.3","0.005","-6.38","-6.39","0","bK16X23L"
"(2023 VE1)","2064-2123","161","2.7e-4","4.30","30.2","0.003","-6.38","-6.87","0","bK23V01E"
"(2020 PJ6)","2074-2119","14","1.6e-6","2.24","25.6","0.026","-6.39","-6.78","0","bK20P06J"
"(2014 AG51)","2049-2120","45","6.9e-5","14.81","30.0","0.003","-6.39","-6.91","0","bK14A51G"
"(2001 SB170)","2095-2095","1","1.7e-8","22.48","22.4","0.110","-6.39","-6.39","0","bK01SH0B"
"(2013 TX68)","2027-2108","5","5.2e-8","14.31","25.3","0.030","-6.40","-6.44","0","bK13T68X"
"(2022 JR1)","2065-2067","2","2.8e-6","19.76","27.4","0.011","-6.40","-6.43","0","bK22J01R"
"(2021 WC3)","2070-2121","37","3.2e-5","12.90","28.6","0.007","-6.40","-7.09","0","bK21W03C"
"(2011 YC63)","2034-2105","5","4.4e-6","18.83","29.0","0.005","-6.41","-6.43","0","bK11Y63C"
"(2011 YQ1)","2113-2113","2","1.4e-6","11.65","25.6","0.026","-6.41","-6.42","0","bK11Y01Q"
"(2017 TA5)","2083-2117","16","7.6e-6","10.74","27.2","0.012","-6.41","-6.90","0","bK17T05A"
"(2022 EE3)","2113-2113","1","1.3e-8","27.78","22.3","0.120","-6.41","-6.41","0","bK22E03E"
